calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
20190101,0,,0,0,0,0
20190102,1,,0,0,0,0
20190103,1,20190102,0,0,0,0
20190104,1,20190103,1,0,0,0
20190105,0,20190104,0,0,0,0
20190106,0,20190104,0,0,0,0
20190107,1,20190104,0,0,0,0
20190108,1,20190107,0,0,0,0
20190109,1,20190108,0,0,0,0
20190110,1,20190109,0,0,0,0
20190111,1,20190110,1,0,0,0
20190112,0,20190111,0,0,0,0
20190113,0,20190111,0,0,0,0
20190114,1,20190111,0,0,0,0
20190115,1,20190114,0,0,0,0
20190116,1,20190115,0,0,0,0
20190117,1,20190116,0,0,0,0
20190118,1,20190117,1,0,0,0
20190119,0,20190118,0,0,0,0
20190120,0,20190118,0,0,0,0
20190121,1,20190118,0,0,0,0
20190122,1,20190121,0,0,0,0
20190123,1,20190122,0,0,0,0
20190124,1,20190123,0,0,0,0
20190125,1,20190124,1,0,0,0
20190126,0,20190125,0,0,0,0
20190127,0,20190125,0,0,0,0
20190128,1,20190125,0,0,0,0
20190129,1,20190128,0,0,0,0
20190130,1,20190129,0,0,0,0
20190131,1,20190130,0,1,0,0
20190201,1,20190131,1,0,0,0
20190202,0,20190201,0,0,0,0
20190203,0,20190201,0,0,0,0
20190204,0,20190201,0,0,0,0
20190205,0,20190201,0,0,0,0
20190206,0,20190201,0,0,0,0
20190207,0,20190201,0,0,0,0
20190208,0,20190201,0,0,0,0
20190209,0,20190201,0,0,0,0
20190210,0,20190201,0,0,0,0
20190211,1,20190201,0,0,0,0
20190212,1,20190211,0,0,0,0
20190213,1,20190212,0,0,0,0
20190214,1,20190213,0,0,0,0
20190215,1,20190214,1,0,0,0
20190216,0,20190215,0,0,0,0
20190217,0,20190215,0,0,0,0
20190218,1,20190215,0,0,0,0
20190219,1,20190218,0,0,0,0
20190220,1,20190219,0,0,0,0
20190221,1,20190220,0,0,0,0
20190222,1,20190221,1,0,0,0
20190223,0,20190222,0,0,0,0
20190224,0,20190222,0,0,0,0
20190225,1,20190222,0,0,0,0
20190226,1,20190225,0,0,0,0
20190227,1,20190226,0,0,0,0
20190228,1,20190227,0,1,0,0
20190301,1,20190228,1,0,0,0
20190302,0,20190301,0,0,0,0
20190303,0,20190301,0,0,0,0
20190304,1,20190301,0,0,0,0
20190305,1,20190304,0,0,0,0
20190306,1,20190305,0,0,0,0
20190307,1,20190306,0,0,0,0
20190308,1,20190307,1,0,0,0
20190309,0,20190308,0,0,0,0
20190310,0,20190308,0,0,0,0
20190311,1,20190308,0,0,0,0
20190312,1,20190311,0,0,0,0
20190313,1,20190312,0,0,0,0
20190314,1,20190313,0,0,0,0
20190315,1,20190314,1,0,0,0
20190316,0,20190315,0,0,0,0
20190317,0,20190315,0,0,0,0
20190318,1,20190315,0,0,0,0
20190319,1,20190318,0,0,0,0
20190320,1,20190319,0,0,0,0
20190321,1,20190320,0,0,0,0
20190322,1,20190321,1,0,0,0
20190323,0,20190322,0,0,0,0
20190324,0,20190322,0,0,0,0
20190325,1,20190322,0,0,0,0
20190326,1,20190325,0,0,0,0
20190327,1,20190326,0,0,0,0
20190328,1,20190327,0,0,0,0
20190329,1,20190328,1,1,1,0
20190330,0,20190329,0,0,0,0
20190331,0,20190329,0,0,0,0
20190401,1,20190329,0,0,0,0
20190402,1,20190401,0,0,0,0
20190403,1,20190402,0,0,0,0
20190404,1,20190403,1,0,0,0
20190405,0,20190404,0,0,0,0
20190406,0,20190404,0,0,0,0
20190407,0,20190404,0,0,0,0
20190408,1,20190404,0,0,0,0
20190409,1,20190408,0,0,0,0
20190410,1,20190409,0,0,0,0
20190411,1,20190410,0,0,0,0
20190412,1,20190411,1,0,0,0
20190413,0,20190412,0,0,0,0
20190414,0,20190412,0,0,0,0
20190415,1,20190412,0,0,0,0
20190416,1,20190415,0,0,0,0
20190417,1,20190416,0,0,0,0
20190418,1,20190417,0,0,0,0
20190419,1,20190418,1,0,0,0
20190420,0,20190419,0,0,0,0
20190421,0,20190419,0,0,0,0
20190422,1,20190419,0,0,0,0
20190423,1,20190422,0,0,0,0
20190424,1,20190423,0,0,0,0
20190425,1,20190424,0,0,0,0
20190426,1,20190425,1,0,0,0
20190427,0,20190426,0,0,0,0
20190428,0,20190426,0,0,0,0
20190429,1,20190426,0,0,0,0
20190430,1,20190429,0,1,0,0
20190501,0,20190430,0,0,0,0
20190502,1,20190430,0,0,0,0
20190503,1,20190502,1,0,0,0
20190504,0,20190503,0,0,0,0
20190505,0,20190503,0,0,0,0
20190506,1,20190503,0,0,0,0
20190507,1,20190506,0,0,0,0
20190508,1,20190507,0,0,0,0
20190509,1,20190508,0,0,0,0
20190510,1,20190509,1,0,0,0
20190511,0,20190510,0,0,0,0
20190512,0,20190510,0,0,0,0
20190513,1,20190510,0,0,0,0
20190514,1,20190513,0,0,0,0
20190515,1,20190514,0,0,0,0
20190516,1,20190515,0,0,0,0
20190517,1,20190516,1,0,0,0
20190518,0,20190517,0,0,0,0
20190519,0,20190517,0,0,0,0
20190520,1,20190517,0,0,0,0
20190521,1,20190520,0,0,0,0
20190522,1,20190521,0,0,0,0
20190523,1,20190522,0,0,0,0
